id,deputy_name,consignment_name,url,income_sum
99112937,Бессарабов Даниил Владимирович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112937/,5612125
99111812,Геккиев Заур Далхатович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99111812/,5612069
99112772,Изотов Алексей Николаевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112772/,5611803
99112934,Волков Юрий Геннадьевич,ЛДПР,http://duma.gov.ru/duma/persons/99112934/,5611781
99111873,Кулиева Василина Васильевна,ЛДПР,http://duma.gov.ru/duma/persons/99111873/,5611777
99112754,Гладких Борис Михайлович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112754/,5611777
99112795,Куринный Алексей Владимирович,КПРФ,http://duma.gov.ru/duma/persons/99112795/,5611777
99112798,Левицкий Юрий Андреевич,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112798/,5611777
99112829,Парфенов Денис Андреевич,КПРФ,http://duma.gov.ru/duma/persons/99112829/,5611777
99112936,Авдеев Александр Александрович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112936/,5611777
99112753,Гетта Антон Александрович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112753/,5611746
99112466,Гусева Ирина Михайловна,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112466/,5611492
99112722,Балыбердин Алексей Владимирович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112722/,5611345
99112774,Ишсарин Рамзил Рафаилович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112774/,5611082
99112811,Минкин Иршат Султанович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112811/,5611082
99112773,Исламов Дмитрий Викторович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112773/,5610933
99112743,Бурнашов Алексей Леонидович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112743/,5609805
1055473,Сайтиев Бувайсар Хамидович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/1055473/,5595869
99112899,Ямпольская Елена Александровна,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99112899/,5595664
99111948,Старовойтов Александр Сергеевич,ЛДПР,http://duma.gov.ru/duma/persons/99111948/,5592519
99111883,Лысаков Вячеслав Иванович,«ЕДИНАЯ РОССИЯ»,http://duma.gov.ru/duma/persons/99111883/,5592340
